iteration,location,role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,financial_instrument,climate_relevance,secondary_category
1,Seattle_US,individual,,"Issue an Executive Order requiring City departments to assess GHG emissions impacts of plans, policies, and major investments, with an assessment framework defined by Oct 2018.","Issue an Executive Order directing City departments to assess the GHG emissions impact of City plans, policies, and major investments.

The Mayor will direct the Office of Sustainability & Environment to work with departments to define the types of projects to assess, the assessment method, and how to account for the broader costs of carbon, by October 2018.",Assess GHG Emissions Impact of City decisions,"Binding governance mechanism (Executive Order) requiring an assessment practice, with a specific deadline for defining the framework.",Mitigation,no,direct,
1,Seattle_US,individual,,"Require owners of nonresidential and multifamily buildings ≥20,000 sq ft to annually track and report energy performance; make reported data publicly available (updated 2016).","Adopted in 2010, Seattle's Energy Benchmarking Program (SMC 22.920) requires owners of nonresidential and multi-family buildings (20,000 square feet or larger) to track energy performance and annually report to the City. The policy was updated in 2016 to make reported data publicly available to further increase awareness of building energy use and support real estate market transformation.",Benchmarking,"Binding ordinance/program requirement (SMC) with clear threshold (20,000 sq ft) and annual reporting obligation; public disclosure update is a concrete policy change.",Resource Efficiency,no,indirect,
1,Seattle_US,individual,,Reduce passenger transportation emissions 82% by 2030.,"Passenger transportation emissions declined an average of 0.5 percent per year since 2008. To achieve the 2030 goal of reducing passenger transportation emissions 82 percent, Seattle would have needed to reduce emissions from passenger vehicles an average of 7.5 percent each year from 2008 onwards.",Changes in emissions since 2008 include:,"Explicit quantified sector target with a deadline year (2030), stated as a goal the city is aiming to achieve.",Mitigation,no,direct,
1,Seattle_US,individual,,Reduce building emissions 39% by 2030.,"Building emissions declined an average of 2.3 percent per year since 2008, which is on track to meet the goal of reducing emissions 39 percent by 2030 (2.2 percent per year). However, between 2012 and 2014 the pace of building emissions reductions has slowed to an average of 2.1 percent, and an analysis of anticipated reductions based on a current business-as-usual approach shows emissions in 2050 only 12 percent below 2008 levels.",Changes in emissions since 2008 include:,"Explicit quantified sector target with a deadline year (2030), stated as an emissions-reduction goal for buildings.",Mitigation,no,direct,
1,Seattle_US,individual,,Release a map/strategy for optimal EV charging infrastructure distribution in 2018 to guide public and private investment with an equity focus.,"Release map of optimal distribution of charging infrastructure in 2018.

The map will guide public and private investment in the network, based on a set of criteria, with a specific focus on equitable distribution of the city receiving significant public benefit when private entities lease space in the right of way.",Charging station network map & strategy,Time-bound deliverable (2018 map/strategy) to shape charging deployment; a concrete planning intervention supporting electrification.,Mitigation,no,direct,
1,Seattle_US,individual,,Scale Pay for Performance and pilot Energy Efficiency as a Service in up to 30 buildings to achieve deeper energy savings; pay incentives based on measured savings.,"Scale Pay for Performance efforts and pilot an innovative utility program exploring Energy Efficiency as a Service in up to 30 buildings to unlock greater levels of energy efficiency depth at scale.

Incentive payments are made over time based on measured energy savings and allow participants to bundle multiple projects and measures, across capital, operational & maintenance, and behavioral improvements.",City Light Whole Building Pay for Performance (P4P) Programs,Named utility program with a quantified pilot scale (up to 30 buildings) and explicit incentive payments—meets the intervention and funding/financial instrument criteria.,Resource Efficiency,yes,indirect,
1,Seattle_US,individual,,Pilot permitting of publicly available EV charging stations in the right-of-way on non-residential streets (initiated 2017) and review results mid-2018.,"To meet that need, in 2017, a pilot program was initiated to permit the installation of publicly-available electric vehicle charging stations on non-residential streets in urban villages, urban centers, and commercial streets.

Pilot program results will be reviewed in mid-2018.",Electric Vehicle Charging in the Right of Way,Specific pilot program and permitting intervention with a stated review timeline; concrete action to expand EV charging access.,Mitigation,no,direct,
1,Seattle_US,individual,,Pass an electric vehicle readiness ordinance in 2018 to ensure new construction/parking renovations include EV infrastructure.,"Pass a new electric vehicle readiness ordinance in 2018, which will ensure new construction or renovation of parking structures is built with electric vehicle infrastructure.

Requiring new construction to build charging stations and provide the electrical wiring needed for future stations will increase the adoption of electric vehicles and save substantial costs for future charging station installation.",Electric vehicle readiness ordinance for new construction,Regulatory commitment with a specified year (2018) and clear required infrastructure outcome for new/renovated parking.,Mitigation,no,direct,
1,Seattle_US,individual,,"Require new parking to be EV-ready by ensuring electrical capacity and showing conduit/equipment locations for future EV charging (Seattle Electrical Code amendment, 2017).","In 2017, the Seattle Electrical Code was amended to ensure new parking is built to facilitate future electric vehicle charging infrastructure. The code requires adequate electrical capacity to serve one electric vehicle charging station per parking space and that construction documents show the location of equipment and conduit for future installation of electric vehicles charging stations.",Electrical Code,Binding code amendment establishing requirements for EV charging readiness in new parking—clear regulatory mechanism.,Mitigation,no,direct,
1,Seattle_US,individual,,"Maintain and implement an advanced commercial energy code including emissions-related requirements (e.g., non-fossil heating or efficient windows in 2015 SEC) supported by an annual City Light grant.","The 2015 SEC includes criteria that address emissions, by requiring either non-fossil fuel-based heating or more efficient windows. Seattle City Light provides an annual grant to Seattle Department of Construction and Inspections to help make possible the work to develop and implement Seattle's advanced code.",Energy Code,Building code requirements explicitly addressing emissions plus a continuing grant to support code development/implementation; concrete regulatory and funding elements.,Mitigation,yes,direct,Resource Efficiency
1,Seattle_US,individual,,"Create a pilot offering height/floor-area incentives for up to 20 major renovations in exchange for deep reductions in energy and water use, including no fossil fuels for heating.","A new pilot will offer additional height and floor area incentives for up to 20 major renovations in urban centers outside the International District. Projects would receive the incentives in exchange for cutting energy and water use well below code, including no use of fossil fuels for heating.","Establish new 2030 Challenge pilot for 20 upgraded, high performing projects by 2025",Specific pilot program with a numeric cap (up to 20 projects) and explicit performance exchange (deep energy/water cuts and no fossil-fuel heating).,Resource Efficiency,no,direct,Mitigation
1,Seattle_US,individual,,Create a new Green Fleet Action Plan by end of 2018 to accelerate municipal fleet electrification and phase out fossil fuel use in municipal vehicles.,"Create a new Green Fleet Action Plan, by the end of 2018, to accelerate the electrification of the municipal fleet and phase out fossil fuel use in municipal vehicles.

The Green Fleet Action Plan will outline a strategy for infrastructure and vehicle deployment as well as identify pathways for heavy duty electrification, in conjunction with key city departments and with emergency management considerations.",Green Fleet Action Plan update,Time-bound plan commitment (end of 2018) to accelerate electrification and phase out fossil fuels in municipal vehicles; concrete planning action.,Mitigation,no,direct,
1,Seattle_US,individual,,Double the 2021–2025 municipal building energy budget and target a 40% energy and carbon emissions reduction in municipal buildings by 2025.,"Building on existing efforts to reduce energy use 20 percent by 2020, the City will double its budget allocation from 2021 to 2025, and set a new target to achieve an overall 40 percent energy and carbon emissions reduction in municipal buildings by 2025.",Improve municipal building energy efficiency and reduce carbon emissions by 2025,Contains both resource allocation (doubling budget) and quantified target with deadline (40% energy and carbon reduction by 2025).,Resource Efficiency,yes,direct,Mitigation
1,Seattle_US,individual,,Develop and release a strategy to address congestion and transportation emissions through pricing paired with investments in expanded transit and electrification in underserved communities.,"Announce that the City will develop and release a strategy to address congestion and transportation emissions through pricing, coupled with investments in expanded transit and electrification in underserved communities.

Research suggests that the most effective strategy for reducing GHG emissions and generating the revenue needed to support transportation alternatives is to put a price on the use of city streets through congestion pricing or some other method of pricing transportation externalities.",Improving mobility through pricing,Commitment to develop a pricing strategy (congestion pricing/road pricing) to reduce transportation emissions; pricing is a financial instrument and the text states emissions reduction as a key purpose.,Mitigation,yes,direct,
1,Seattle_US,individual,,Provide incentives/programs leading to minimum building energy/carbon performance standards phased in beginning in 2030.,"Provide programs and incentives to spur improved energy efficiency and reduced carbon emissions, backed by a minimum performance standard beginning in 2030.

Leading up to 2030, the city will work with building owners through incentives, technical assistance and other programs to help them become voluntary early adopters of the standards, and would then phase in performance requirements beginning in 2030.",Incentive-driven 2030 performance standards for commercial and multifamily buildings,Explicit commitment to incentives/programs and a backstop regulatory minimum performance standard starting in 2030; directly references carbon emissions reductions.,Resource Efficiency,yes,direct,Mitigation
1,Seattle_US,individual,,Uphold the Paris Climate Agreement pollution reduction targets.,"In 2017, when President Trump removed the U.S. from the Paris Climate Agreement, the City committed to upholding the pollution reduction targets in the Agreement. We know that we are already seeing the impacts of climate change, from wildfires that choke our air to more intense storms that flood our streets.",Letter from the Mayor,"Clear commitment to meet specific pollution reduction targets (Paris Agreement). While impacts are described, this statement itself is a mitigation-aligned commitment.",Mitigation,no,direct,
1,Seattle_US,individual,,Achieve a 20% reduction in energy use across City-owned buildings by 2020 (2008 baseline) under the Resource Conservation Management Plan (Resolution 31491).,"In 2013, the City adopted a Resource Conservation Management Plan (Resolution 31491), with the goal to achieve a 20 percent reduction in energy use across City-owned buildings by 2020 (2008 baseline). The Office of Sustainability & Environment manages the dedicated funding and works with individual capital departments to prioritize, develop and implement energy efficiency projects.",Municipal Buildings,"Quantified target with deadline and baseline, adopted via resolution; includes dedicated funding management (resource allocation).",Resource Efficiency,yes,indirect,
1,Seattle_US,individual,,"Require City-owned new construction and major renovations to achieve LEED Gold and be 15% more energy efficient than current code (Sustainable Building Policy update, 2011).","In 2011, the City updated its Sustainable Building Policy for City-owned buildings covering new construction and major renovations. In addition to the requirement to achieve LEED Gold certification, projects are expected to be 15 percent more energy efficient than the current code.",Municipal Buildings,Municipal policy requirement for LEED Gold and quantified energy performance expectation; a concrete operational/standards policy.,Resource Efficiency,no,indirect,
1,Seattle_US,individual,,"Reduce municipal fleet emissions by 50% by 2025 through electrification, cleaner fuels, efficiency, and procurement standards (Green Fleet Action Plan).","The Green Fleet Action Plan guides the City's efforts to meet the goal to reduce municipal fleet emissions by 50 percent by 2025 by increasingly electrifying the fleet, using cleaner fuels when electrification is not feasible, increasing efficiency in how vehicles are used, and setting standards for vehicle procurement.",Municipal Fleet,"Quantified emissions target (50% by 2025) with specified mechanisms (electrification, fuels, efficiency, procurement standards).",Mitigation,no,direct,Resource Efficiency
1,Seattle_US,individual,,Provide incentives to convert 200 homes per year from oil heat to electric heat pumps (Oil Heated Home Conversion program).,"The Oil Heated Home Conversion program provides incentives for homeowners to replace oil heating systems with clean, efficient, electric heat pumps. By partnering with a heat pump distributor, who provides matching incentives, the program is converting 200 homes per year.",Oil Heated Home Conversion,Named program with incentives (financial instrument) and a quantified annual conversion rate (200 homes/year); shifts from oil to electric heat pumps.,Mitigation,yes,direct,Resource Efficiency
1,Seattle_US,individual,,"Develop recommendations and a financing/incentive plan to convert 18,000 homes from oil heating to electric heat pumps, including support for low-income residents.","OSE will propose recommendations to the mayor aimed at accelerating the transition of 18,000 homes from heating with oil to an electric heat pump, and adequately serving those unable to finance the switch alone. Recommendations will include a financing plan to support low-income residents, as well as a combination of public and private incentives to spur action.",Oil to heat pump conversion,"Quantified conversion scale (18,000 homes) and explicit financing/incentive plan commitment; targeted support for those unable to finance.",Mitigation,yes,direct,Resource Efficiency
1,Seattle_US,individual,,"Offer expedited permitting for projects achieving green building certification and meeting minimum energy efficiency, water conservation, and indoor air quality criteria.","Seattle Department of Construction and Inspections provides expedited permitting for projects achieving green building certification and meeting minimum energy efficiency (15 percent better than code), water conservation, and indoor air quality criteria.",Priority Green,"Concrete administrative incentive (expedited permitting) contingent on measurable performance criteria (15% better than code, water conservation).",Resource Efficiency,no,indirect,
1,Seattle_US,individual,,Affirm Seattle’s commitment to the Paris Agreement goals and direct an updated Climate Action Plan.,"In response to the Trump administration's withdrawal of support for the international Paris Climate Agreement last year, the City Council adopted Resolution 31757, affirming Seattle's commitment to the goals established in the Paris Agreement, and directing the creation of an updated climate action plan.",| Background,Formal City Council resolution affirming Paris goals and directing creation of an updated plan; a governance commitment with a clear deliverable.,Mitigation,no,direct,
1,Seattle_US,individual,,Direct OSE to identify actions necessary for Seattle to help limit warming to 1.5°C (Resolution 31757).,"In response to the Trump administration's withdrawal of support for the international Paris Climate Agreement last year, the City Council adopted Resolution 31757, affirming Seattle's commitment to the goals established in the Paris Agreement, and directing the Office of Sustainability & Environment (OSE) to identify the actions necessary to do our part to limit warming to 1.5 degrees Celsius.",| Background,Resolution-based directive to identify actions aligned with a quantified global temperature limit (1.5°C); a concrete planning mandate.,Mitigation,no,direct,
1,Seattle_US,individual,,Achieve community carbon neutrality by 2050 and implement a plan to meet the goal (Resolution 31312).,"In 2011, the Mayor and City Council adopted a bold climate protection goal for our community to become carbon neutral by 2050 and directed the creation of a plan to meet the goal (Resolution 31312). The resulting 2013 Climate Action Plan (CAP) provided a coordinated strategy aimed at reducing GHG emissions while also supporting other community goals, including building vibrant neighborhoods, fostering economic prosperity, and enhancing racial and social justice.",| Background,"Quantified, time-bound overarching climate goal (carbon neutral by 2050) adopted by Mayor and Council via resolution, plus directive to create a plan.",Mitigation,no,direct,
1,Seattle_US,individual,,Develop a dense network of shared mobility hubs co-located with transit and accommodate fast charging near hubs to advance electric car share and ride hail.,"The Seattle Transportation Department is developing a dense network of shared mobility hubs throughout the city, co-located with major transit facilities and in places where frequent transit services intersect. A key objective for shared mobility hubs is to advance the use of electric car share and ride hail vehicles by accommodating fast charging at or very near hub locations.",Shared Mobility Hubs,Specific program commitment (develop a dense network of hubs) with an explicit electrification-support objective (fast charging at/near hubs).,Mitigation,no,indirect,
1,Seattle_US,individual,,Implement two EV charging infrastructure pilot programs: install 20 public fast chargers and launch a residential in-home charging program in fall 2018.,"Seattle City Light is designing and implementing two charging infrastructure pilot programs. Through the right of way charging pilot program described above, City Light is installing 20 public fast charging stations to increase access, while also ensuring that charging is distributed more equitably around the city. The residential program will offer customers access to inhome charging at a manageable monthly cost and is expected to launch in the fall of 2018.",Seattle City Light Charging Program,Concrete program commitments with quantified infrastructure deployment (20 fast chargers) and a defined launch window (fall 2018).,Mitigation,no,direct,
1,Seattle_US,individual,,"Require commercial buildings ≥50,000 sq ft to complete building tune-ups to improve energy and water efficiency, with phased compliance beginning early 2019 (SMC 22.930).","Adopted in 2016, the Building Tune-Ups Ordinance (SMC 22.930) requires commercial buildings 50,000 square feet or larger to identifying low- or no-cost building operations and maintenance improvements to improve energy and water efficiency. Compliance deadlines will be phased in by building size, beginning in early 2019.",Tune Ups,Binding ordinance (SMC 22.930) with a clear applicability threshold and compliance timeline; specifies efficiency improvements required.,Resource Efficiency,no,indirect,
1,Seattle_US,individual,,Meet the Building Tune-Ups deadline for City buildings one year earlier than required for private owners (Resolution 31652).,"To demonstrate leadership, build capacity in the industry, and help reduce compliance costs, the city has committed (Resolution 31652) to meeting the Building Tune-Ups deadline one year earlier than required for private owners.",Tune Ups,Specific municipal commitment with an explicit timing condition (one year earlier) anchored in a resolution.,Resource Efficiency,no,indirect,
1,Seattle_US,individual,,"Implement a voluntary Building Tune-Up Accelerator with incentives for early compliance for 50,000–100,000 sq ft buildings using DOE grant funding.","With funding from a Department of Energy grant, the City is implementing the Building Tune-Up Accelerator Program providing incentives for early compliance with the Tune-Ups Ordinance. The Accelerator is a voluntary program for owners of mid-size buildings, those 50,000-100,000 square feet, to conduct a tune-up that meets the Seattle Building Tune-Up requirements in advance of when their building is required to comply (2020 & 2021).",Tune-Up Accelerator,"Named program with incentives and an identified funding source (DOE grant), plus defined eligibility (50,000–100,000 sq ft) and timing (ahead of 2020/2021 compliance).",Resource Efficiency,yes,indirect,
1,Seattle_US,individual,,"Work with community and business stakeholders to develop recommendations for making all new for-hire vehicles in Seattle electric, including a future year after which all must be electric and permitting only electric for-hire vehicles.","The city will work with these stakeholders to create recommendations on how to electrify shared vehicle fleets, determine a year after which all such vehicles must be electric, and prepare for the City to begin permitting only electric vehicles for for-hire use.",Ride share and taxi fleet electrification,Concrete policy-development commitment with a clear intended regulatory endpoint (all such vehicles must be electric; permitting only EVs) though the year is to be determined.,Mitigation,no,direct,
1,Seattle_US,individual,,Prioritize 2019 state legislation to enable a tiered residential energy code that cities can adopt at higher standards.,"State legislation would be required directing the State Building Code Council, which Seattle is a member of, to develop the tiered code. Legislation to allow for tiered energy codes will be a priority for the City of Seattle in the 2019 legislative session.",Washington State tiered residential energy code,Explicit legislative priority statement tied to a specific session year (2019) and a defined policy outcome (tiered code enabling city adoption).,Resource Efficiency,no,indirect,
